market_name,sido,sigungu,address,lat,lng,num_stores,items,open_cycle,parking_p02,parking_p03,rest_area,kids_room,match_status
장평시장,전남,장흥군,전라남도 장흥군 장평면 장택길 7,34.77539717,126.9778669,12,농산물+수산물+가공식품+의류+신발+가정용품+음식점,1일+6일,Y,Y,N,N,매칭완료
정남진장흥토요시장,전남,장흥군,전라남도 장흥군 장흥읍 토요시장1길 53,34.67727214,126.903159,140,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,2일+7일,Y,Y,Y,N,매칭완료
천관산관광시장,전남,장흥군,전라남도 장흥군 관산읍 칠관로 1559-4,34.56277107,126.9370717,39,농산물+축산물+수산물+가공식품+신발+가정용품+음식점,3일+8일,Y,Y,N,N,매칭완료
회진시장,전남,장흥군,전라남도 장흥군 회진면 회진중앙길 9-13,34.4820345,126.9403546,15,농산물+수산물+의류+음식점,매일,N,N,N,N,매칭완료
진도상설전통시장,전남,진도군,전라남도 진도군 진도읍 남동1길 57-8,34.48135668,126.2649029,13,농산물+수산물,매일,Y,Y,N,N,매칭완료
진도읍조금시장,전남,진도군,전라남도 진도군 진도읍 조금시장길 25,34.48155399,126.25734,41,농산물+수산물+의류+가정용품+음식점,2일+7일,Y,Y,Y,N,매칭완료
월야시장,전남,함평군,전라남도 함평군 월야면 밀재로 1504-5,35.17926742,126.626782,22,농산물+수산물+가공식품+의류+신발+가정용품+음식점,5일+10일,Y,Y,N,N,매칭완료
함평천지전통시장,전남,함평군,전라남도 함평군 함평읍 시장길 49,35.06373037,126.5234259,41,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,2일+7일,Y,Y,N,N,매칭완료
해보시장,전남,함평군,전라남도 함평군 해보면 밀재로 1274-12,35.18104709,126.6025443,28,농산물+수산물+가공식품+의류+신발+가정용품+음식점,3일+8일,Y,Y,N,N,매칭완료
남리5일시장,전남,해남군,전라남도 해남군 황산면 시등로 111-11,34.57532321,126.4324845,40,농산물+수산물+의류+가정용품,3일+8일,Y,Y,N,N,매칭완료
북평면남창5일시장,전남,해남군,전라남도 해남군 북평면 달량진길 48-11,34.40453441,126.6267107,16,농산물+수산물+신발+음식점,2일+7일,Y,Y,N,N,매칭완료
송지산정5일시장,전남,해남군,전라남도 해남군 송지면 산정1길 96,34.36966913,126.5191941,40,농산물+수산물+의류,2일+7일,Y,Y,N,N,매칭완료
우수영5일시장,전남,해남군,전라남도 해남군 문내면 동외리 919-17,,,,,,Y,,N,N,현황(P02)만 존재 - 좌표없음
좌일5일시장,전남,해남군,전라남도 해남군 북일면 만월길 26-1,34.46385571,126.6725613,,농산물+축산물,3일+8일,Y,Y,N,N,매칭완료
해남읍5일시장,전남,해남군,전라남도 해남군 해남읍 중앙2로 76,34.56878428,126.5971547,97,농산물+수산물+의류+신발+음식점,1일+6일,Y,Y,N,N,매칭완료
화원5일시장,전남,해남군,전라남도 해남군 화원면 금평리 239,,,,,,Y,,N,N,현황(P02)만 존재 - 좌표없음
능주전통시장,전남,화순군,전라남도 화순군 능주면 학포로 1955,34.99091732,126.959364,45,농산물+수산물+가공식품+의류+신발+가정용품+음식점,5일+10일,Y,Y,N,N,매칭완료
동복전통시장,전남,화순군,전라남도 화순군 동복면 동복시장길 19,35.07163148,127.1257557,20,농산물+수산물+가공식품+가정용품,2일+7일,N,N,N,N,매칭완료
사평전통시장,전남,화순군,전라남도 화순군 남면 사평길 32,35.00537383,127.0975835,52,농산물+수산물+가공식품+의류+신발+가정용품+음식점,5일+10일,N,N,N,N,매칭완료
이양전통시장,전남,화순군,전라남도 화순군 이양면 이양로 29-19,34.88259402,126.9868735,11,의류+신발+가정용품+근린생활서비스,4일+9일,Y,Y,N,N,매칭완료
화순고인돌전통시장,전남,화순군,전라남도 화순군 화순읍 시장길 42,35.05909434,126.9833988,100,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,3일+8일,Y,Y,Y,Y,매칭완료
